,PUMBAA,BANZAI,NALA,RAFIKI,ZAZU,SARAFINA,ED,MUFASA,SHENZI,SIMBA,TIMON,SCAR,MOLE,SARABI
PUMBAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANZAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAFIKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAZU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SARAFINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUFASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHENZI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMON,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SARABI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
