,PUMBAA,BANZAI,NALA,RAFIKI,ZAZU,SARAFINA,ED,MUFASA,SHENZI,SIMBA,TIMON,SCAR,MOLE,SARABI
PUMBAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANZAI,0,0,1,0,2,0,2,2,4,3,0,1,0,0
NALA,0,1,0,0,2,1,1,1,1,4,0,0,0,1
RAFIKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAZU,0,2,2,0,0,0,2,5,2,5,0,4,1,1
SARAFINA,0,0,1,0,0,0,0,0,0,1,0,0,0,1
ED,0,2,1,0,2,0,0,2,2,2,0,1,0,0
MUFASA,0,2,1,0,5,0,2,0,2,5,0,3,1,1
SHENZI,0,4,1,0,2,0,2,2,0,3,0,1,0,0
SIMBA,0,3,4,0,5,1,2,5,3,0,0,4,1,2
TIMON,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAR,0,1,0,0,4,0,1,3,1,4,0,0,0,1
MOLE,0,0,0,0,1,0,0,1,0,1,0,0,0,0
SARABI,0,0,1,0,1,1,0,1,0,2,0,1,0,0
