,PUMBAA,BANZAI,NALA,RAFIKI,ZAZU,SARAFINA,ED,MUFASA,SHENZI,SIMBA,TIMON,SCAR,MOLE,SARABI
PUMBAA,0,0,2,1,0,0,0,0,0,5,9,0,0,0
BANZAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NALA,2,0,0,1,0,0,0,0,0,2,2,0,0,0
RAFIKI,1,0,1,0,0,0,0,1,0,5,1,0,0,0
ZAZU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SARAFINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUFASA,0,0,0,1,0,0,0,0,0,1,0,0,0,0
SHENZI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMBA,5,0,2,5,0,0,0,1,0,0,5,0,0,0
TIMON,9,0,2,1,0,0,0,0,0,5,0,0,0,0
SCAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SARABI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
