,PUMBAA,BANZAI,NALA,RAFIKI,ZAZU,SARAFINA,ED,MUFASA,SHENZI,SIMBA,TIMON,SCAR,ZIP PAN,MOLE,CRAZE
PUMBAA,0,0,0,0,0,0,1,0,0,5,5,0,0,0,1
BANZAI,0,0,1,0,2,0,4,2,4,4,0,2,0,0,0
NALA,0,1,0,0,2,1,1,1,1,5,0,1,0,0,0
RAFIKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAZU,0,2,2,0,0,0,3,5,2,5,0,4,0,1,0
SARAFINA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ED,1,4,1,0,3,0,0,3,4,6,1,3,0,0,1
MUFASA,0,2,1,0,5,0,3,0,2,5,0,3,0,1,0
SHENZI,0,4,1,0,2,0,4,2,0,4,0,2,0,0,0
SIMBA,5,4,5,0,5,1,6,5,4,0,5,6,0,1,1
TIMON,5,0,0,0,0,0,1,0,0,5,0,0,0,0,1
SCAR,0,2,1,0,4,0,3,3,2,6,0,0,0,0,0
ZIP PAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLE,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
CRAZE,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
