,PUMBAA,BANZAI,NALA,RAFIKI,ZAZU,SARAFINA,ED,MUFASA,SHENZI,SIMBA,TIMON,SCAR,ZIP PAN,MOLE,CRAZE
PUMBAA,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0
BANZAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NALA,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0
RAFIKI,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ZAZU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SARAFINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
MUFASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHENZI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMBA,1,0,2,3,0,0,1,0,0,0,1,0,0,0,0
TIMON,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0
SCAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIP PAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
