,PUMBAA,BANZAI,NALA,RAFIKI,ZAZU,SARAFINA,ED,MUFASA,SHENZI,SIMBA,TIMON,SCAR,ZIP PAN,MOLE,CRAZE
PUMBAA,0,1,2,1,1,0,0,0,1,3,3,2,0,0,0
BANZAI,1,0,1,0,1,0,1,0,1,2,2,2,1,0,0
NALA,2,1,0,1,0,0,0,0,1,4,2,3,1,0,0
RAFIKI,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0
ZAZU,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0
SARAFINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ED,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
MUFASA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SHENZI,1,1,1,0,1,0,0,0,0,2,1,2,0,0,0
SIMBA,3,2,4,2,1,0,0,1,2,0,3,4,1,0,0
TIMON,3,2,2,1,1,0,1,0,1,3,0,2,0,0,0
SCAR,2,2,3,0,1,0,0,0,2,4,2,0,1,0,0
ZIP PAN,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
MOLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
