,FIRST TROOPER,BASE,THREEPIO,CREATURE,RED TEN,RED ELEVEN,CHIEF PILOT,TECHNICIAN,CAPTAIN,GOLD LEADER,GOLD TWO,LEIA,WILLARD,DEAK,SECOND OFFICER,OFFICER,RED LEADER,OFFICER CASS,CHIEF,MOTTI,GOLD FIVE,GREEDO,RED SEVEN,FIXER,BEN,PORKINS,CONTROL OFFICER,BARTENDER,IMPERIAL OFFICER,FIRST OFFICER,DODONNA,CAMIE,BERU,JABBA,GANTRY OFFICER,DEATH STAR INTERCOM,BIGGS,REBEL OFFICER,SECOND TROOPER,MASSASSI INTERCOM,COMMANDER,HUMAN,VADER,TAGGE,WEDGE,WINGMAN,OWEN,TARKIN,HAN,LUKE,RED NINE
FIRST TROOPER,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0
BASE,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,5,0,0,0,0,7,0,2,0
THREEPIO,3,0,0,3,0,0,0,1,3,1,0,13,0,0,0,3,3,0,1,0,1,0,0,0,14,0,0,1,1,1,1,0,2,0,1,0,5,0,1,3,0,2,1,0,3,0,4,0,11,32,0
CREATURE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0
RED TEN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
RED ELEVEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CHIEF PILOT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TECHNICIAN,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CAPTAIN,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0
GOLD LEADER,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
