,PUMBAA,BANZAI,NALA,RAFIKI,ZAZU,SARAFINA,ED,MUFASA,SHENZI,SIMBA,TIMON,SCAR,MOLE,SARABI
PUMBAA,0,2,5,2,1,0,1,1,2,11,13,6,0,1
BANZAI,2,0,4,0,4,0,4,5,5,8,2,7,0,2
NALA,5,4,0,3,6,1,2,5,4,14,5,9,0,4
RAFIKI,2,0,3,0,1,0,0,4,1,8,2,2,0,0
ZAZU,1,4,6,1,0,1,2,9,3,10,1,7,1,4
SARAFINA,0,0,1,0,1,0,0,0,0,1,0,0,0,1
ED,1,4,2,0,2,0,0,2,3,4,1,3,0,0
MUFASA,1,5,5,4,9,0,2,0,3,12,1,7,1,5
SHENZI,2,5,4,1,3,0,3,3,0,6,2,5,0,1
SIMBA,11,8,14,8,10,1,4,12,6,0,11,15,1,5
TIMON,13,2,5,2,1,0,1,1,2,11,0,6,0,1
SCAR,6,7,9,2,7,0,3,7,5,15,6,0,0,4
MOLE,0,0,0,0,1,0,0,1,0,1,0,0,0,0
SARABI,1,2,4,0,4,1,0,5,1,5,1,4,0,0
